"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","342","Atualizar os dados de um usuário com sucesso (PUT)","API - Gestão de Usuários","Thu Apr 23 18:06:24 UTC 2026","passed","Thu Apr 23 18:06:24 UTC 2026","","","",""
"","561","Validação de Campos Obrigatórios no Checkout","Checkout","Thu Apr 23 18:06:48 UTC 2026","passed","Thu Apr 23 18:06:48 UTC 2026","","","",""
"","4639","Fechamento de compra CRIANDO A CONTA","Checkout","Thu Apr 23 18:06:48 UTC 2026","passed","Thu Apr 23 18:06:53 UTC 2026","","","",""
"","91","Limpar carrinho de compras (DELETE)","API - Checkout e Carrinho","Thu Apr 23 18:06:17 UTC 2026","passed","Thu Apr 23 18:06:17 UTC 2026","","","",""
"","59","Visualizar carrinho de compras (GET)","API - Checkout e Carrinho","Thu Apr 23 18:06:17 UTC 2026","passed","Thu Apr 23 18:06:17 UTC 2026","","","",""
"","573","Adicionar produto com sucesso","Home - Adicionar Produtos","Thu Apr 23 18:06:55 UTC 2026","passed","Thu Apr 23 18:06:55 UTC 2026","","","",""
"","3872","Fechamento de compra com cartão de crédito com a ""Mastercard"" não cadastrando a conta (example #2)","Checkout","Thu Apr 23 18:06:34 UTC 2026","passed","Thu Apr 23 18:06:38 UTC 2026","","","",""
"","4266","Fechamento de compra com múltiplas unidades do mesmo produto","Home - Adicionar Produtos","Thu Apr 23 18:06:55 UTC 2026","passed","Thu Apr 23 18:06:59 UTC 2026","","","",""
"","2985","Fechamento de compra pagando com Boleto","Checkout","Thu Apr 23 18:06:45 UTC 2026","passed","Thu Apr 23 18:06:48 UTC 2026","","","",""
"","3838","Fechamento de compra com cartão de crédito com a ""Amex"" não cadastrando a conta (example #3)","Checkout","Thu Apr 23 18:06:38 UTC 2026","passed","Thu Apr 23 18:06:42 UTC 2026","","","",""
"","4493","Fechamento de compra com cartão de crédito com a ""Visa"" não cadastrando a conta (example #1)","Checkout","Thu Apr 23 18:06:29 UTC 2026","passed","Thu Apr 23 18:06:34 UTC 2026","","","",""
"","930","Analisar carrinho vazio","Carrinho de Compras","Thu Apr 23 18:06:26 UTC 2026","passed","Thu Apr 23 18:06:27 UTC 2026","","","",""
"","2947","Fechamento de compra pagando com Pix","Checkout","Thu Apr 23 18:06:42 UTC 2026","passed","Thu Apr 23 18:06:44 UTC 2026","","","",""
"","198","Fechamento de compra com sucesso (POST)","API - Checkout e Carrinho","Thu Apr 23 18:06:17 UTC 2026","passed","Thu Apr 23 18:06:17 UTC 2026","","","",""
