"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5042","Fechamento de compra CRIANDO A CONTA","Checkout","2026-04-20","passed","2026-04-20","","","",""
"","32","GET - Visualizar carrinho de compras","QA-Commerce API - CRUD Scenarios","2026-04-20","passed","2026-04-20","","","",""
"","53","POST - Fechamento de compra","QA-Commerce API - CRUD Scenarios","2026-04-20","passed","2026-04-20","","","",""
"","3983","Fechamento de compra com cartão de crédito não cadastrando a conta (example #2)","Checkout","2026-04-20","passed","2026-04-20","","","",""
"","3052","Fechamento de compra pagando com Pix","Checkout","2026-04-20","passed","2026-04-20","","","",""
"","575","Adicionar produto com sucesso","Home - Adicionar Produtos","2026-04-20","passed","2026-04-20","","","",""
"","2957","Fechamento de compra pagando com Boleto","Checkout","2026-04-20","passed","2026-04-20","","","",""
"","34","DELETE - Limpar carrinho de compras","QA-Commerce API - CRUD Scenarios","2026-04-20","passed","2026-04-20","","","",""
"","3860","Fechamento de compra com cartão de crédito não cadastrando a conta (example #3)","Checkout","2026-04-20","passed","2026-04-20","","","",""
"","4394","Fechamento de compra com múltiplas unidades do mesmo produto","Home - Adicionar Produtos","2026-04-20","passed","2026-04-20","","","",""
"","659","Analisar carrinho vazio","Carrinho de Compras","2026-04-20","passed","2026-04-20","","","",""
"","585","Validação de Campos Obrigatórios no Checkout","Checkout","2026-04-20","passed","2026-04-20","","","",""
"","4150","Fechamento de compra com cartão de crédito não cadastrando a conta (example #1)","Checkout","2026-04-20","passed","2026-04-20","","","",""
